"UniqueID","RANK","sign-DISC","sign-REPL","NEW-Entrez-ID","NEW-Gene-ID","DISC: WB","Weight","Zscore","Direction","P","REPL: WB","Weight","Zscore","Direction","P","META: Weight","META: Zscore","META:Direction","META: P","REPL-cerebellum","Weight","Effect","SE","P","REPL-frontalcortex","Weight","Effect","SE","P","REPL-CD4+","Weight","Zscore","P","REPL-CD8+","Weight","Effect","SE","P","REPL-CD14+/monocytes","Weight","Zscore","P","REPL-LCLs","Weight","Effect","SE","P","REPL-LYMPHOCYTES","Weight","Effect","SE","P","REPL-PBMCs","Weight","Zscore","P"
17811,41,"y","y",4050,"LTB","------",7257,-14.895,"-",3.55E-50,"--------",8009,-14.02,"-",1.11E-44,15266,-20.428,"-",9.52E-93,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-0.675,5.00E-01,"-",299,-0.030,0.009,7.56E-04,"+-",567,-1.023,3.06E-01,"-",869,-0.001,0.001,5.02E-01,"?",0,"ns","ns","ns","-+",362,-0.290,7.72E-01
61667,42,"y","y",54463,"FAM134B","------",7257,-15.167,"-",5.88E-52,"--------",8009,-13.43,"-",3.96E-41,15266,-20.185,"-",1.31E-90,"-",394,-0.004,0.003,2.71E-01,"+",394,0.003,0.003,3.72E-01,"--",515,-2.619,8.82E-03,"-",299,-0.046,0.007,5.46E-10,"-+",567,0.003,9.97E-01,"-",869,-0.001,0.001,6.33E-01,"?",0,"ns","ns","ns","--",362,-2.347,1.90E-02
38458,43,"y","y",81606,"LBH","------",7257,-14.176,"-",1.29E-45,"--------",8009,-14.22,"-",7.04E-46,15266,-20.073,"-",1.28E-89,"?",0,"ns","ns","ns","-",394,-0.014,0.003,1.70E-06,"--",515,-1.954,5.08E-02,"-",299,-0.017,0.007,2.30E-02,"+-",567,-1.252,2.11E-01,"-",869,-0.007,0.002,1.69E-05,"?",0,"ns","ns","ns","--",362,-1.310,1.90E-01
57114,44,"y","y",11098,"PRSS23","++++++",7257,14.071,"+",5.76E-45,"+++-++++",8009,14.07,"+",6.25E-45,15266,19.889,"+",5.11E-88,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,3.747,1.79E-04,"+",299,0.036,0.011,9.12E-04,"+-",567,1.588,1.12E-01,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",362,3.085,2.04E-03
39063,45,"y","y",203328,"SUSD3","---?--",6376,-14.258,"-",4.01E-46,"--------",8009,-13.91,"-",5.30E-44,14385,-19.873,"-",6.90E-88,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-3.414,6.40E-04,"-",299,-0.035,0.006,3.64E-09,"++",567,0.837,4.03E-01,"-",869,-0.002,0.001,1.80E-01,"-",1244,-0.004,0.000,7.06E-20,"--",362,-1.052,2.93E-01
56533,46,"y","y",113791,"PIK3IP1","------",7257,-14.933,"-",2.02E-50,"--------",8009,-13.13,"-",2.16E-39,15266,-19.807,"-",2.58E-87,"+",394,0.009,0.003,1.57E-03,"+",394,0.015,0.003,2.65E-07,"--",515,-3.803,1.43E-04,"-",299,-0.033,0.007,3.33E-06,"--",567,-1.421,1.55E-01,"-",869,-0.002,0.001,3.49E-02,"?",0,"ns","ns","ns","--",362,-3.148,1.65E-03
9507,47,"y","y",4240,"MFGE8","------",7257,-12.460,"-",1.23E-35,"--------",8009,-15.34,"-",4.09E-53,15266,-19.702,"-",2.06E-86,"-",394,-0.002,0.003,6.21E-01,"+",394,0.004,0.004,3.11E-01,"--",515,-1.011,3.12E-01,"-",299,-0.036,0.009,4.91E-05,"++",567,2.447,1.44E-02,"+",869,0.001,0.002,4.57E-01,"-",1244,-0.005,0.001,1.13E-19,"-?",134,-2.644,8.20E-03
35729,48,"y","y",79814,"AGMAT","------",7257,-13.765,"-",4.14E-43,"--------",8009,-14.09,"-",4.34E-45,15266,-19.697,"-",2.31E-86,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?-",213,-2.364,1.81E-02,"?",0,"ns","ns","ns","+?",213,1.684,9.21E-02,"+",869,0.001,0.001,3.74E-01,"-",1244,-0.003,0.000,1.64E-22,"-?",134,-1.567,1.17E-01
26614,49,"y","y",4818,"NKG7","++-+++",7257,14.434,"+",3.17E-47,"++++++++",8009,13.42,"+",4.53E-41,15266,19.673,"+",3.67E-86,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,5.414,6.15E-08,"+",299,0.042,0.012,5.52E-04,"+-",567,1.629,1.03E-01,"+",869,0.001,0.001,2.59E-01,"?",0,"ns","ns","ns","++",362,1.882,5.99E-02
20610,50,"y","y",5521,"PPP2R2B","++-+++",7257,13.489,"+",1.81E-41,"++++++++",8009,14.26,"+",4.19E-46,15266,19.625,"+",9.40E-86,"-",394,-0.008,0.003,5.39E-03,"-",394,-0.008,0.003,1.13E-02,"++",515,6.609,3.87E-11,"+",299,0.039,0.009,3.44E-05,"+-",567,0.596,5.51E-01,"-",869,0.000,0.000,4.14E-01,"?",0,"ns","ns","ns","++",362,2.957,3.10E-03
