"oldSymbol","newSymbol"
"4922505G16Rik","Mroh8"
"4930403N07Rik","Ccdc175"
"4930404H21Rik","Tex36"
"4930405P13Rik","Scpep1os"
"4930408F14Rik","Spin2d"
"4930412F15Rik","Fam221b"
"4930414L22Rik","Particl"
"4930417G10Rik","Fam228a"
"4930420K17Rik","Tmem243"
"4930428D18Rik","Cldn34b4"
"4930428E23Rik","Smim9"
"4930430D24Rik","Btg1-ps2"
"4930431A04Rik","Klrb1"
"4930432K09Rik","Prr27"
"4930441O14Rik","Zfp85os"
"4930443G12Rik","Slc25a54"
"4930444A02Rik","Pomk"
"4930451C15Rik","Lrrc74b"
"4930455C21Rik","Timmdc1"
"4930455F23Rik","Ccdc181"
"4930458L03Rik","Spata31"
"4930465A12Rik","Csmd2os"
"4930468A15Rik","Cldn34d"
"4930471I20Rik","Acss2os"
"4930471M23Rik","Slc35f6"
"4930473A06Rik","Ccdc171"
"4930479M11Rik","Pmis2"
"4930500J02Rik","Platr14"
"4930511I11Rik","Armc12"
"4930511M11Rik","Tmbim7"
"4930521A18Rik","Pih1d3"
"4930524E20Rik","Ube2dnl2"
"4930524L23Rik","Ppp1r3fos"
"4930525F21Rik","Fam227b"
"4930525M21Rik","Btg1-ps1"
"4930528F23Rik","Meiob"
"4930529F22Rik","Adam20"
"4930529F24Rik","Nrg3os"
"4930529M08Rik","Cfap61"
"4930534B04Rik","Cep128"
"4930542H20Rik","Rab11fip4os2"
"4930544O15Rik","Tex38"
"4930547C10Rik","Toporsl"
"4930547N16Rik","Parpbp"
"4930555I21Rik","Stpg1"
"4930564G21Rik","Grip1os2"
"4930564K09Rik","Rbm46os"
"4930565A17","Gm20611"
"4930568K20Rik","Pitpnm2os1"
"4930572J05Rik","Them6"
"4930578N16Rik","Ccdc173"
"4930579C15Rik","Eqtn"
"4930579G22Rik","Nupr1l"
"4930583H14Rik","Mgarp"
"4930588N13Rik","Tex26"
"4930596M17Rik","Lyzl4os"
"4931407G18Rik","Cabs1"
"4931408A02Rik","Eva1c"
"4931417G12Rik","Fancd2os"
"4931440L10Rik","Mgat4e"
"4932411E22Rik","Ankfn1"
"4932411G14Rik","Spata31d1d"
"4932411L15","Gm17644"
"4932412H11Rik","Lrrd1"
"4932415G12Rik","Cep83os"
"4932425I24Rik","Maats1"
"4932441B19Rik","Spata31d1c"
"4933400C05Rik","Spata32"
"4933400C23","4933400C23Rik"
"4933401P06Rik","Ppp2r2cos"
"4933403F05Rik","Fam210a"
"4933403G14Rik","Map10"
"4933404M02Rik","Erich2"
"4933407C03Rik","Cmip"
"4933407H18Rik","Uvssa"
"4933407P14Rik","Sppl2c"
"4933421E11Rik","Lrif1"
"4933422H20Rik","Trim80"
"4933424B01Rik","Asun"
"4933425H06Rik","Sox5os3"
"4933425O20Rik","Tmem239"
"4933426D04Rik","Prkag2os1"
"4933430H15Rik","Lrrc71"
"4933432B09Rik","Fam227a"
"4933433P14Rik","Gskip"
"4933436C20Rik","Crnde"
"4933437F05Rik","Noxred1"
"4933439F18Rik","Gid4"
"5033411D12Rik","Sugct"
"5033414D02Rik","Plgrkt"
"5133401N09Rik","Idnk"
"5330426P16Rik","Dubr"
"5330437I02Rik","Oacyl"
"5430403N17","5430403N17Rik"
"5430405G05Rik","Tmem74b"
"5430407P10Rik","Proser2"
"5430411K18Rik","Epg5"
"5430417L22Rik","Inafm2"
"5430425J12Rik","Slc6a19os"
"5430437P03Rik","Babam1"
"5730403B10Rik","Cdip1"
"5730419I09Rik","C2cd5"
"5730437N04Rik","Tmem242"
"5730455O13Rik","Fra10ac1"
"5730457N03Rik","Evx1os"
"5730469M10Rik","Fam213a"
"5730494M16Rik","Tpgs2"
"5730528L13Rik","Msantd3"
"5730577I03Rik","Fbxl12os"
"5730590G19Rik","Ticrr"
"5830403L16Rik","Teddm2"
"5830403M04Rik","Tmem150cos"
"5830416P10Rik","Mirt1"
"5830433M19Rik","Caap1"
"5930416I19Rik","Rhno1"
"5930434B04Rik","Cacfd1"
"5930438M14","5930438M14Rik"
"6030405A18Rik","Sertm1"
"6030422M02Rik","Mcmdc2"
"6030429G01Rik","Dnaaf3"
"6030446N20Rik","Tmem241"
"6230409E13Rik","Faxc"
"6230427J02Rik","Fam212a"
"6330406I15Rik","Medag"
"6330407J23Rik","Soga3"
"6330409N04Rik","Spryd7"
"6330439K17Rik","Dzank1"
"6330503K22Rik","Ccp110"
"6330512M04Rik","Ifitm10"
"6330527O06Rik","Lamp5"
"6330545A04Rik","Rsg1"
"6330578E17Rik","Coa5"
"6430527G18Rik","Irf2bpl"
"6430548G04","Dbhos"
"6430584L05","6430584L05Rik"
"6430598A04Rik","Nyap1"
"6430704M03Rik","Frrs1l"
"6530401N04Rik","Dtd2"
"6530418L21Rik","Fam212b"
"6530439I21","Gm15850"
"6720401G13Rik","Firre"
"6720456B07Rik","Brk1"
"6720456H20Rik","Tmem260"
"6720463M24Rik","Bora"
"7530420F21Rik","Ptgs2os"
"8430403D17Rik","Bcas3os1"
"8430406I07Rik","Mgme1"
"8430410A17Rik","Hmces"
"8430410K20Rik","Msantd4"
"9030224M15Rik","Mettl24"
"9030418K01Rik","Fam217b"
"9030425E11Rik","Clmp"
"9030625A04Rik","Lacc1"
"9130011J15Rik","Smim7"
"9130014G24Rik","Adgb"
"9130017N09Rik","Misp"
"9130206I24Rik","Foxd2os"
"9130404H23Rik","Themis3"
"9230115E21Rik","Arhgap20os"
"9330117O12","9330117O12Rik"
"9430008C03Rik","Snhg17"
"9430031J16Rik","Nyap2"
"9430032N09Rik","Pcsk2os2"
"9430076C15Rik","Creb5"
"9430076G02Rik","Redrum"
"9530008L14Rik","Adtrp"
"9530048J24Rik","Bcas3os2"
"9830001H06Rik","Soga1"
"9830132P13","9830132P13Rik"
"9930005F22Rik","Rnf223"
"9930021D14Rik","Bricd5"
"9930023K05Rik","Plekhs1"
"A030009H04Rik","Chd3os"
"A130022J15Rik","Eogt"
"A130049A11Rik","Phtf1os"
"A230051G13Rik","Iba57"
"A2ld1","Ggact"
"A330049M08Rik","Ncmap"
"A330050B17Rik","Mccc1os"
"A430071A18Rik","Rptoros"
"A430084P05Rik","Scimp"
"A430092G05Rik","Arhgap15os"
"A430107O13Rik","Cped1"
"A430107P09Rik","Trav3-3"
"A430110N23Rik","Ssc5d"
"A530065N20","A530065N20Rik"
"A530098C11Rik","Mettl21c"
"A630055G03Rik","Rmi2"
"A730011L01Rik","Endov"
"A730015I17","Gm13497"
"A730037C10Rik","Ccdc169"
"A730043L09","A730043L09Rik"
"A730085A09Rik","Kank4os"
"A730090H04Rik","Dlx4os"
"A730098P11Rik","Morf4l1-ps1"
"A830007P12Rik","Tor4a"
"A830060N17","Gm16863"
"A830093I24Rik","Fam228b"
"A930001N09Rik","Crebrf"
"A930005I04Rik","Msantd1"
"A930011O12Rik","Mir124a-1hg"
"A930038C07Rik","Ndnf"
"AA960436","Usb1"
"AB099516","Methig1"
"AI314831","Wt1os"
"AI314976","Oard1"
"AI316807","Smim19"
"AI414108","Igsf9b"
"AI428936","Syne4"
"AI480653","Xxylt1"
"AI646023","Lrrc75b"
"AI848100","Suco"
"AU018829","Gm16513"
"AU021034","Fam216b"
"AU023871","G6b"
"AW146020","Gcfc2"
"AW555464","Cep170b"
"Abpa","Scgb1b27"
"Abpd","Scgb2b20"
"Abpe","Scgb2b2"
"Abpg","Scgb2b26"
"Abph","Scgb1b2"
"Abpz","Scgb2b24"
"Accn1","Asic2"
"Accn2","Asic1"
"Accn3","Asic3"
"Accn4","Asic4"
"Accn5","Asic5"
"Agphd1","Hykk"
"Agxt2l1","Etnppl"
"Agxt2l2","Phykpl"
"Als2cr4","Tmem237"
"Amac1","Slc35g3"
"Ankrd5","Ankef1"
"Anubl1","Zfand4"
"Aox3l1","Aox2"
"Arpm1","Actrt3"
"Atpbd4","Dph6"
"B230120H23Rik","Zak"
"B230206F22Rik","Ftx"
"B230208H17Rik","Rabl6"
"B230209K01Rik","Celrr"
"B230214G05","B230214G05Rik"
"B230312A22Rik","Fam214b"
"B230378P21Rik","Plxna4os1"
"B3gnt9-ps","B3gnt9"
"B930003M22Rik","Cahm"
"B930007M17Rik","Stpg2"
"B930018H19","B930018H19Rik"
"BC002230","Nrde2"
"BC003266","Smim12"
"BC006779","Helz2"
"BC013529","Ginm1"
"BC013712","Themis2"
"BC016495","Nmrk1"
"BC017612","Smco4"
"BC017647","Fam222b"
"BC020535","Ccm2l"
"BC021785","Mfsd4b5"
"BC024479","Msantd2"
"BC024582","Bach2os"
"BC024659","Smim13"
"BC030307","Ttc41"
"BC031353","Fam214a"
"BC031781","Sde2"
"BC032203","Gltscr1l"
"BC033916","Platr17"
"BC046331","Cep104"
"BC046404","Lrrc75a"
"BC048355","Dnph1"
"BC049635","Fam205c"
"BC051070","Chil6"
"BC053749","Proser3"
"BC055004","Nxpe5"
"BC057022","Fam222a"
"BC057079","Focad"
"BC060267","Efcab12"
"BC061194","Spag6"
"BC066135","Rbbp8nl"
"BC067068","Mettl25"
"BC088983","Cep44"
"BC090627","Gm44502"
"BC096441","Tnfsfm13"
"BC125332","Nutm1"
"Baat1","Brat1"
"Bet3l","Trappc3l"
"Bglap-rs1","Bglap3"
"Brp44","Mpc2"
"Btnl5","Btnl5-ps"
"C030019I05Rik","Fndc9"
"C030030A07Rik","Smco3"
"C030044B11Rik","Fam120aos"
"C030046I01Rik","R3hdm4"
"C030048B08Rik","Rbm48"
"C130022K22Rik","Ccdc174"
"C130039O16Rik","Elmsan1"
"C230024C17","C230024C17Rik"
"C230079O03","C230079O03Rik"
"C230081A13Rik","Peak1"
"C330005M16Rik","Acp7"
"C330006K01Rik","Ap5z1"
"C330008G21Rik","Ptprtos"
"C330011F03","C330011F03Rik"
"C330013F16Rik","Platr21"
"C330019G07Rik","Prr14l"
"C330046G13Rik","Platr7"
"C430002E04Rik","Platr4"
"C430048L16Rik","Rbm12b2"
"C530028O21Rik","Pianp"
"C630004H02Rik","Hid1"
"C630020P19Rik","Pcsk2os1"
"C630031E19","C630031E19Rik"
"C80913","Uri1"
"C85492","Pomgnt2"
"C86695","Fam90a1a"
"Ccdc109a","Mcu"
"Ccdc111","Primpol"
"Ccdc123","Cep89"
"Ccdc164","Drc1"
"Ccdc21","Cep85"
"Ccdc45","Cep95"
"Ccdc46","Cep112"
"Ccdc48","Efcc1"
"Ccdc56","Coa3"
"Ccdc7","Ccdc7a"
"Ccdc72","Tma7"
"Ccdc75","Gpatch11"
"Ccdc76","Trmt13"
"Ccdc90a","Mcur1"
"Ccdc99","Spdl1"
"Ccrl1","Ackr4"
"Chchd8","Coa4"
"Chi3l1","Chil1"
"Chi3l3","Chil3"
"Chi3l4","Chil4"
"Chia","Chia1"
"Cldn27","Tmem235"
"Cml2","Nat8f2"
"Cml3","Nat8f3"
"Cml5","Nat8f5"
"Cno","Bloc1s4"
"Cobra1","Nelfb"
"Copg","Copg1"
"Cox4nb","Emc8"
"Cphx","Cphx1"
"Crxos1","Crxos"
"Csda","Ybx3"
"Cxcr7","Ackr3"
"Cybasc3","Cyb561a3"
"Cyp4a29-ps","Cyp4a29"
"Cyp4a30b-ps","Cyp4a30b"
"Cypt2-ps","Cypt2"
"D030016E14Rik","Trappc11"
"D0H4S114","Nrep"
"D10Wsu52e","Rtcb"
"D11Wsu99e","Fam104a"
"D14Ertd449e","Tmem254a"
"D14Ertd668e","Phf11d"
"D16H22S680E","Tango2"
"D17H6S56E-3","Vwa7"
"D18Ertd653e","Ldlrad4"
"D19Ertd386e","R3hcc1l"
"D19Wsu162e","Wbp1l"
"D1Bwg0212e","Cnot11"
"D230037D09Rik","Tmem251"
"D2Ertd750e","Knstrn"
"D330012F22Rik","Gdpgp1"
"D330022K07Rik","Sorbs2os"
"D330028D13Rik","Fam221a"
"D4Bwg0951e","Lurap1l"
"D4Ertd22e","Szrd1"
"D4Wsu53e","Rsrp1"
"D630032N06Rik","Appbp2os"
"D630037F22Rik","Tbc1d32"
"D630042F21Rik","Tmem52b"
"D630042P16Rik","Ssu2"
"D6Mm5e","M1ap"
"D6Wsu116e","Fam21"
"D730039F16Rik","Cutal"
"D730040F13Rik","Tmem245"
"D730048J04Rik","Ankrd66"
"D7Ertd715e","Snhg14"
"D830015G02Rik","Mhrt"
"D830029L11","Gm15328"
"D930014E17Rik","Akip1"
"D9Ertd402e","Tcaim"
"Defa-rs1","Defa29"
"Defa-rs7","Defa31"
"Defb48-ps","Gm21944"
"Dem1","Exo5"
"Diap2","Diaph2"
"Dlx6as1","Dlx6os1"
"Dlx6as2","Dlx6os2"
"Dnahc1","Dnah1"
"Dnahc10","Dnah10"
"Dnahc11","Dnah11"
"Dnahc17","Dnah17"
"Dnahc2","Dnah2"
"Dnahc5","Dnah5"
"Dnahc6","Dnah6"
"Dnahc7a","Dnah7a"
"Dnahc7b","Dnah7b"
"Dnahc8","Dnah8"
"Dnahc9","Dnah9"
"Dnalc1","Dnal1"
"Dnalc4","Dnal4"
"Dom3z","Dxo"
"Dos","Cbarp"
"Dub1","Usp17la"
"Dub1a","Usp17lb"
"Dub2a","Usp17ld"
"Dub3","Usp17le"
"Dus2l","Dus2"
"E030002O03Rik","Olfm5"
"E030010A14Rik","Tmem252"
"E030019B06Rik","Cfap46"
"E130003G02Rik","Grin1os"
"E130203B14Rik","Vstm4"
"E130303B06Rik","Enkd1"
"E130304F04Rik","Nim1k"
"E130306D19Rik","Arhgef39"
"E330009D11","Gm11548"
"E330013P06","Carmn"
"E330016A19Rik","Mb21d1"
"E330023G01","E330023G01Rik"
"E330033L03","Gm16130"
"Efha1","Micu2"
"Efha2","Micu3"
"Eif2c1","Ago1"
"Eif2c2","Ago2"
"Eif2c3","Ago3"
"Eif2c4","Ago4"
"Emid2","Col26a1"
"Emr4","Adgre4"
"Enox","Jpx"
